# Archival forcing corpus — per-cell forceability register (AFC-1).
# Pin: a6160a4bd. Denominator: 17 tables x 2 halves = 34 cells.
# Anchors re-resolved 2026-09-14 after merging origin/dev (PL-D3) into the
# SL-D coverage branch — same symbols, at the lines the merge moved them to.
# Re-resolved 2026-09-18 after `get_output_histogram` left `db_lmdb.cpp`
# (93 lines at the old :4539): every later `db_lmdb.cpp` site moved with it.
# Re-resolved 2026-09-21 after HoldingsUpdate apply/pop left db_lmdb.cpp
# (~227 lines) and blockchain_db.cpp (the connect arm plus the pop-order
# comment): every later site moved with it. Symbols re-checked at the new
# lines, not blindly subtracted. HoldingsUpdate cells are EXCLUDED (kind
# REJECTED 2026-09-20); the table remains in the X-macro until a layout
# bump drops it.
# Re-resolved 2026-09-23 after the tx_extra cutover grew `extract_leaf_entries`
# in blockchain_db.cpp's add_block by 8 lines (the shekyl-wire codec read
# replacing the C++ parse): every later blockchain_db.cpp site moved +8; the
# gate re-checked each symbol at its new line.
# Table set is derived from the X(LMDB_ARCHIVAL_ ...) X-macro at
# src/blockchain_db/lmdb/db_lmdb.cpp:356-372 — not hand-listed.
# disposition is FORCED-BY:<event> or EXCLUDED:<reason>.
# symbol is the EXACT identifier that must appear at `site`. It is a typed
# column, not prose: the anchor leg matches THIS and nothing else, so a note
# reworded or a line drifted cannot silently keep a citation green.
# Re-resolved 2026-09-21 (later the same day) after the stripe engine left
# `db_lmdb.cpp` (prune_worker and the txs_prunable_tip write, ~340 lines) and
# `blockchain.cpp` (PDM-Q7, `feat/pruning-seed-wire-deletion`): every later
# site moved with it. Each anchor re-found by its exact pre-change line text.
# Re-resolved 2026-09-22 after the C++ tx-data prune left `db_lmdb.cpp`
# (`prune_tx_data`, `output_metadata`, `txs_prunable_tip`; LMDB v15, ~256
# lines): every later site moved with it, each re-found by exact line text.
# Re-resolved 2026-09-22 after merging origin/dev (slice 4 precursor)
# into the tx-data prune deletion: db_lmdb.cpp anchors moved one line with
# the read-only open fix; the two blockchain.cpp anchors moved with the
# economics FFI edit. Each site re-found by the symbol on the merged line.
table	half	disposition	site	symbol	note
archival_slash_applied	apply	FORCED-BY:bonded-P-fails-challenge-across-a-settlement-epoch	db_lmdb.cpp:5268	m_archival_slash_applied	mdb_put m_archival_slash_applied via apply_archival_slash_one; needs a bond record + failed challenge, NOT a settlement row
archival_slash_applied	revert	FORCED-BY:pop-across-the-slash	blockchain_db.cpp:744	revert_archival_slashes_at_height	revert_archival_slashes_at_height
archival_slash_log	apply	FORCED-BY:height-past-an-epoch-slash-deadline	db_lmdb.cpp:5296	m_archival_slash_log	mdb_put m_archival_slash_log; the epoch MARKER is unconditional once per such height, so cheaper to force than slash_applied
archival_slash_log	revert	FORCED-BY:pop-across-the-slash	blockchain_db.cpp:744	revert_archival_slashes_at_height	revert_archival_slashes_at_height
archival_emission_claim_log	apply	FORCED-BY:tx-with-reward-emission-vin	blockchain_db.cpp:369	apply_archival_emission_claim	apply_archival_emission_claim
archival_emission_claim_log	revert	FORCED-BY:pop-of-that-block	blockchain_db.cpp:761	revert_archival_emission_claims_at_height	revert_archival_emission_claims_at_height
archival_bond_unbond_log	apply	FORCED-BY:bond-post-Release	blockchain_db.cpp:327	apply_archival_unbond	apply_archival_unbond
archival_bond_unbond_log	revert	FORCED-BY:pop-of-that-block	blockchain_db.cpp:772	revert_archival_unbonds_at_height	revert_archival_unbonds_at_height
archival_bond_holdings_update_log	apply	EXCLUDED:kind-rejected-immutable-bond	db_lmdb.cpp:6270	apply_archival_holdings_update_add	throw stub; discriminant 3 is InvalidPostKind (2026-09-20)
archival_bond_holdings_update_log	revert	EXCLUDED:vacuous-over-never-written-table	blockchain_db.cpp:776	revert_archival_holdings_updates_at_height	named no-op so pop order stays explicit; no journal rows are written
archival_bond_reinstate_log	apply	FORCED-BY:bond-post-Reinstate	blockchain_db.cpp:334	apply_archival_reinstate	apply_archival_reinstate
archival_bond_reinstate_log	revert	FORCED-BY:pop-of-that-block	blockchain_db.cpp:784	revert_archival_reinstates_at_height	revert_archival_reinstates_at_height
archival_r_market	apply	FORCED-BY:epoch-close	db_lmdb.cpp:7811	m_archival_r_market	written by process_archival_epoch_close_at_height
archival_r_market	revert	FORCED-BY:pop-across-the-epoch-close	db_lmdb.cpp:6658	delete_archival_r_market_for_epoch	delete_archival_r_market_for_epoch from the close revert
archival_sigma_work	apply	FORCED-BY:epoch-close	db_lmdb.cpp:7821	m_archival_sigma_work	written by process_archival_epoch_close_at_height
archival_sigma_work	revert	FORCED-BY:pop-across-the-epoch-close	db_lmdb.cpp:6715	delete_archival_sigma_work_for_epoch	delete_archival_sigma_work_for_epoch from the close revert
archival_epoch_close_log	apply	FORCED-BY:epoch-close	db_lmdb.cpp:7879	m_archival_epoch_close_log	written by process_archival_epoch_close_at_height
archival_epoch_close_log	revert	FORCED-BY:pop-across-the-epoch-close	db_lmdb.cpp:7917	m_archival_epoch_close_log	mdb_del in revert_archival_epoch_close_at_height
archival_budget_accrual	apply	FORCED-BY:block-with-nonzero-accrual	blockchain_db.cpp:690	add_archival_budget_accrual	add_archival_budget_accrual
archival_budget_accrual	revert	FORCED-BY:pop-of-that-block	blockchain_db.cpp:790	remove_archival_budget_accrual	remove_archival_budget_accrual
archival_budget	apply	FORCED-BY:epoch-close	db_lmdb.cpp:7870	m_archival_budget	written by process_archival_epoch_close_at_height
archival_budget	revert	FORCED-BY:pop-across-the-epoch-close	db_lmdb.cpp:6940	delete_archival_budget_for_epoch	delete_archival_budget_for_epoch from the close revert
